primarySlug,longitude,latitude,postalCode
les-enfants-du-piree-1,4.3369489,50.8072116,1180
viva-brazil,4.3449379,50.8264868,1060
le-mediterraneen,4.3413944,50.8400419,1000
nori-maki,4.3562414,50.8137051,1180
otacos-xavier-de-bue,4.3381116,50.8035632,1180
snack-cousin,4.3304799,50.8281543,1190
hamakom,4.349854,50.8225448,1060
pasta-dor-1,4.3235313,50.8237698,1190
au-petit-en-cas,4.3426764,50.8358433,1000
la-pizza-pazza-saint-gilles,4.343441,50.831173,1060
lebanese,4.3528582,50.8233392,1060
poke-time,4.3461457,50.8288209,1060
sanck-twins,4.3411907,50.8025734,1180
fast-good-saint-gilles,4.3461457,50.8288209,1060
cafe-galletos,4.3415713,50.83084,1060
foods-n-moods-1000,4.341234,50.839905,1000
pizzago,4.3368221,50.8086781,1180
kitchen-by-pj,5.8653054,51.1032895,6101 KA
rosso-peperone,4.3604117,50.8995699,1020
snack-bosphore,4.3633831,50.867365,1030
poke-n-bowl,5.6942033,50.7378327,4600
la-petite-gayoule,5.6832371,50.7159264,4681
pizza-berneau,5.7309887,50.7427452,4607
pita-daubel,5.861091,50.703153,4880
un-cent,5.6351175,50.6756846,4040
le-jasmin-vise,5.6932625,50.7364115,4600
pizzeria-bella-vita-aubel-1,5.8587614,50.7012689,4880
basilico-oupeye-1,5.6672087,50.733192,4684
fiammetta,5.6957822,50.6797621,4671
eetboutique-kaya,5.4189421,50.9075832,3590
sushi-culture,5.421273,50.906796,3590
fri-tuur-t-charlotteje,4.2391931,51.0991085,2880
de-notelaer,4.2396577,51.0992551,2880
dominos-pizza-bornem-1,4.2332509,51.096811,2880
snack-el-medina,5.6923432,50.9884185,3630
frituur-natalie,5.710942,50.9796447,3630
sofra,5.69626,50.9644592,3630
pizza-hut-delivery-maasmechelen,5.6995297,50.985642,3630
burger-kofte-maasmechelen,5.6955838,50.9886723,3630
restaurant-di-trapani,4.2430556,50.9591359,1785
okebab,4.402186,50.69827,1410
donca,4.4359849,50.7067478,1380
bella-italia-la-hulpe,4.482034,50.7307928,1310
palas-food,4.3134475,50.873455,1083
pizzeria-side,4.3946412,50.8278784,1040
la-frite-doree-watermael-boitsfort,4.403656,50.8087296,1170
pizzaitalia,4.3933062,50.8283102,1040
da-maurizio-new,4.4217231,50.8175012,1160
amore-fantasia,4.4170591,50.8154374,1160
omonni-fried-chicken,4.4074136,50.8267923,1150
com-nam,4.4028325,50.8099038,1170
mazaj,4.426498,50.8156493,1160
snack-thieffry,4.3998691,50.8307916,1040
sushi-wok-1,4.3931218,50.8284343,1040
liborio,4.4036377,50.8224266,1160
snack-aquarium,4.4004368,50.8243819,1160
little-bamboo,4.4199745,50.8178432,1160
ponto-pasta,4.3751999,50.8330089,1050
m-m,4.4255233,50.816752,1160
storia-italiana,4.4024371,50.809298,1170
de-masala-box,4.3995011,50.8245628,1160
agra,4.3996489,50.8248545,1160
dominos-pizza-oostende-2,2.9162294,51.2331238,8400
chawlas-2,2.9191892,51.2350678,8400
olis-friet-eat,2.9115785,51.2301212,8400
ristorante-pizzeria-benvenuto,2.887625,51.2202656,8400
ohana,2.9199729,51.2321658,8400
mamacita,2.9100374,51.2302524,8400
steakhouse,2.9211001,51.2343551,8400
sushi-oostende,2.8967336,51.2229187,8400
frituur-opex-oostende,2.9410876,51.2362582,8400
flavours-of-india,2.9102942,51.224864,8400
den-oude-lepel,2.9165314,51.2324505,8400
traiteur-piemonte,2.9166562,51.2313405,8400
pizza-hut-oostende,2.9084221,51.221713,8400
bavet-oostende,2.9117851,51.2311114,8400
delight-sushi-bar,2.9169871,51.2310302,8400
villa-borghese-oostende-1,2.9186504,51.2313293,8400
hawaiian-poke-bowl-oostende,2.917142,51.23228,8400
the-hungry-queen,2.9097197,51.2297828,8400
oostende-poke-bowl,2.918388,51.227541,8400
pizzeria-margarita,2.9146258,51.2319794,8400
visboetiek-emilie,2.9225484,51.2317511,8400
markies,2.9153112,51.2301494,8400
poule-poullette,2.9128059,51.230868,8400
snack-oostende-1,2.9191153,51.2296711,8400
pakistan-royal-food,2.9164435,51.2337942,8400
sensai,2.9195529,51.2350673,8400
frituur-franky,2.9110218,51.2283855,8400
burgiz-boutique,2.9152767,51.2301755,8400
de-oostendse-friethoek-oostende,2.9416491,51.2275495,8400
ruby-frituur,2.8950886,51.2179472,8400
planet-yoghurt-planet-pasta-oostende,2.9180292,51.2309915,8400
pitta-corner-oostende,2.9164431,51.2337831,8400
delco-snacks-burger-shop,2.8831453,51.2179446,8400
harbours-kitchen-vicogne-hoeve,2.9616512,51.2374909,8450
antalya-grill,2.9087838,51.2245941,8400
pitta-bon-appetit,2.9144097,51.2318024,8400
mcdonalds-oostende-drive,2.9049282,51.205983,8400
de-zeebries,2.9187381,51.2313242,8400
ronin,2.9164091,51.2325994,8400
jilles-oostende-oostende,2.9114752,51.2308922,8400
bella-italia-oostende,2.9144809,51.2326991,8400
antwerp-fried-chicken-oostende,2.9074721,51.217274,8400
tasty-subs,2.9134285,51.2255125,8400
pizza-planet-oostende,2.9149214,51.2301403,8400
frituur-hazegras,2.9241447,51.2257515,8400
selfi-snack,2.9164162,51.2324767,8400
mcdonalds-vlaanderenstraat,2.9168021,51.2324441,8400
flavors,2.917821,51.2308905,8400
sushi-shsaido,2.923122,51.228775,8400
frituur-danny,2.906713,51.2154089,8400
el-greco-oostende,2.9170093,51.2329511,8400
amy-mary-specialty-ice-creams,2.9141748,51.232124,8400
olivier-willems-chocolatier-atelier-oosteroever,2.9315989,51.2358134,8400
rizavita,2.9131492,51.231963,8400
mister-spaghetti-oostende,2.9167638,51.233041,8400
tujo,2.8938599,51.2229242,8400
osaveurs,2.920767,51.2332008,8400
het-koraal,2.9228992,51.230965,8400
twins-f-oostende,2.9177008,51.2332041,8400
deli-twist-oostende,2.9188015,51.231373,8400
snack-royal-oostende-8400,2.8822633,51.2127031,8400
izmir-kebab,2.914207,51.232292,8400
benjis-luxury-pitta,2.915532,51.232334,8400
chinees-restaurant-chi,5.7153759,50.8486979,6224 JB
dominos-pizza-lanaken,5.6499956,50.8893746,3620
frituur-restaurant-malberg,5.6582401,50.865745,6218 BE
nankaisushi,5.6496035,50.8882302,3620
orient-new,5.6650737,50.8947108,3620
achiles,5.6737455,50.8852173,3620
eethuis-zemzem,5.6507451,50.8895158,3620
pizzeria-newroz,5.6507451,50.8895158,3620
mamma-mia-kanne,5.6691349,50.8133081,3770
sushi-wolder,5.6541681,50.834446,6213 HL
daisuki-sushi-2,5.666505,50.85022,6216 CE
da-roberto-ii,5.6803091,50.8514888,6211 PP
pizza-planet-vise,5.6946873,50.7360097,4600
ada-grill-burger,5.6941176,50.8465692,6211 HL
lotus-maastricht,5.6752508,50.8442745,6214 SV
o-bubble-tea,5.6937383,50.7383555,4600
pizza-hut-delivery-asse,4.1965426,50.9118426,1730
