restaurant_name,menu_item_name,price,description
Morepizzaâ€™s ,Pizza Hot Shoarma,12.95,"Mozzarellakaas, uien, shoarma, paprika en jalapeÃ±os ."
Morepizzaâ€™s ,Pizza Shoarma,12.95,Mozzarellakaas en shoarma. 
Morepizzaâ€™s ,Pizza Frutti di Mare ,12.95,Mozzarellakaas en zeevruchten. 
Morepizzaâ€™s ,Pizza Funghi ,12.95,Mozzarellakaas en champignons.
Morepizzaâ€™s ,Pizza Hot BBQ Chicken,12.95,"Mozzarellakaas, uien, kip, paprika en jalapeÃ±os ."
Morepizzaâ€™s ,Pizza BBQ Saus Shoarma,12.95,"Mozzarellakaas, uien, shoarma, paprika, en jalapeÃ±os ."
Morepizzaâ€™s ,Pizza Hot BBQ Saus  Shoarma,12.95,"Mozzarellakaas, uien, shoarma, paprika en jalapeÃ±os ."
Morepizzaâ€™s ,Pizza Roomsaus Cheesy Creamy,12.95,"Mozzarella, Fetakaas en Gorgonzola."
Morepizzaâ€™s ,Pizza Roomsaus Chicken Cream,12.95,"Mozzarella, uien, kip en champignons."
Morepizzaâ€™s ,Pizza Roomsaus More Mix,12.95,"Roomsaus, uien, kip, champignons en swirl BBQ."
Morepizzaâ€™s ,Pizza Roomsaus Salmon,12.95,"Mozzarellakaas, zalm, uien, kip en knoflookpoeder."
Morepizzaâ€™s ,Pizza Curry Saus Chicken,12.95,"Mozzarellakaas, kip en ananas."
Morepizzaâ€™s ,Pizza Bolognais,12.95,"Mozzarellakaas, uien en knoflookpoeder."
Morepizzaâ€™s ,Promo 1,35.0,3 small pizza's en 3 blakjes drank.
Morepizzaâ€™s ,Promo 2,35.0,"2 medium pizza's, voorgerecht en fles cola."
Morepizzaâ€™s ,Chili Menu,25.0,"1 small pizza, voorgerecht, drank en dessert."
Morepizzaâ€™s ,More Menu,35.0,"1 large pizza, 5 nuggets, 5 hotwings, 5 tenders en fles cola."
Pizza Pronto Stabroek,Pizza  Antebo,13.0,"Bolognesesaus, ananas, paprika, kip, olijven en extra Mozzarella."
Pizza Pronto Stabroek,Pizza BBQ Chicken,12.3,"Kip, paprika, ui en shoarmasaus nieuwe."
Pizza Pronto Stabroek,Pizza Sirena,11.7,"Scampi's, uien, look en paprika."
Pizza Pronto Stabroek,Pizza BolognaÃ¯se ,10.8,BolognaÃ¯se saus.
Boulangerie Sirre - Miroir,Part de pizza jambon/fromage,5.2,"Jambon, fromage, tomates"
Boulangerie Sirre - Miroir,Part de pizza 4 fromages,5.2,"Jambon, fromage, tomates"
Pizza Di Mamma,Pizza Margherita,10.5,Sauce tomate et Mozzarella.
Pizza Di Mamma,Pizza 4 formaggi,11.5,"Sauce tomate, Mozzarella,  Parmesan, Taleggio et Gorgonzola."
Pizza Di Mamma,Pizza pepperoni,11.5,"Sauce tomate, Mozzarella, salami, poivrons et oignons."
Pizza Di Mamma,Pizza parmiggiana,11.5,"Sauce tomate, Mozzarella, aubergines et Parmesan gratinÃ©."
Pizza Di Mamma,Pizza Regina,11.5,"Sauce tomate, Mozzarella, jambon et champignons."
La Carretta,Pizza 4 fromages,16.5,
La Carretta,Scampis pizzaiola,20.5,
La Carretta,Escalope pizzaiola,20.5,Servi avec pain et 1 accompagnement au choix.
La Carretta,Pizza Margherita,11.0,Sauce tomate et Mozzarella.
La Carretta,Pizza capriciosa,12.0,"Sauce tomate, Mozzarella, jambon et champignons."
La Carretta,Pizza quattro stagioni,13.5,"Sauce tomate, Mozzarella jambon, anchois, artichauts et Å“uf dur."
La Carretta,Pizza bruschetta,18.5,
La Carretta,Pizza Marina,10.5,"Sauce tomate, ail et persil."
La Carretta,Pizza primavera,11.5,"Sauce tomate, Mozzarella et jambon."
La Carretta,Pizza siciliana,12.0,"Sauce tomate, Mozzarella, anchois, cÃ¢pres, olives noires et persil."
La Carretta,Pizza veneziana,12.0,"Sauce tomate, Mozzarella oignons, Parmesan et persil."
La Carretta,"Pizza calzone ""fermÃ©e""",13.0,"Sauce tomate, Mozzarella et jambon."
La Carretta,Pizza salami,13.5,
La Carretta,Pizza hawaÃ¯enne,15.0,"Sauce tomate, Mozzarella, ananas et jambon."
La Carretta,Pizza Gorgonzola,15.0,"Sauce tomate, Mozzarella, jambon et Gorgonzola."
La Carretta,Pizza fruits de mer,16.5,
La Carretta,Pizza vÃ©gÃ©tarienne,17.5,
La Carretta,Pizza Carretta,18.5,"Sauce tomate, Mozzarella, lardons, Gorgonzola et Ã©pinards."
La Carretta,Pizza saumon fumÃ©,19.5,
La Carretta,Pizza modenese,19.5,"Sauce tomate, Mozzarella, pancetta, roquette, tomates fraÃ®ches et copeaux de Parmesan."
